Company Name,Ticker,Street Address,City,State/Province,Postal Code,Country,County,Telephone Number,Fax Number,Executive Name,Executive Position,Company Email Address,URL/Web Address,Company Type,No. of Employees,Primary SIC Code,Secondary SIC Code,Headquarters,Dossier ID,Primary NAICS Code,Secondary NAICS Code,Business Description,Auditor,Legal Counsel,Sales/Revenue,Assets,Liabilities,Market Cap,Earnings Per Share,EPS Growth Rate,Price/Earning Ratio,Return On Equity,Top Companies,Primary SBI Code,Secondary SBI Code,Chamber of Commerce Number
"BANK OF AMERICA, NATIONAL ASSOCIATION","","2 KING EDWARD STREET","LONDON","","EC1A 1HQ","","","44 (20717) 44000","","Almedia,Jose","DIRECTOR","","http://www.bankofamerica.com","PRIVATE - PARENT","171,057","6021 National Commercial Banks","","","0","","","Banks","PricewaterhouseCoopers LLP","","117,852,000,000","3,051,375,000,000","2,778,178,000,000","","","","","",""
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Zaimi,Sanaz","Head-BofA Securities Europe & Global Fixed Income"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Wood,Ray","Head-Global Power Investment Banking"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Chryssicopoulos,Philippe","Head-Infrastructure Investment Banking & Power & Utilities-EMEA"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Rizzo,Luigi","Head-Investment Banking-EMEA"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Ramsey,Patrick","Head-Global Merger & Acq"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Mee,Adrian","Head-Global Merger & Acq"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Ferrari,Luca","Head-Mergers & Acq Bus-EMEA"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"MacDonald,Jack","Head-Global Merger & Acq"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Weaving,Anya","Mng Dir-Natural Resources Unit-Global"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Qu,Dong","Mng Dir-Global Risk Analytics"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Perry,Mark","Vice Chm-Comml Bank-Global"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Feuerstein,Jason","Head-Entertainment Indus Grp-Los Angeles"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Wood,Ray","Head-Global Power Investment Banking"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Chryssicopoulos,Philippe","Head-Infrastructure Investment Banking & Power & Utilities-EMEA"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Rizzo,Luigi","Head-Investment Banking-EMEA"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Ramsey,Patrick","Head-Global Merger & Acq"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Mee,Adrian","Head-Global Merger & Acq"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Ferrari,Luca","Head-Mergers & Acq Bus-EMEA"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"MacDonald,Jack","Head-Global Merger & Acq"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Gidlow,Robert","Sr VP-Global Liquidity Product"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Perry,Mark","Vice Chm-Comml Bank-Global"
"Bank of America Merrill Lynch","","5 CANADA SQUARE","LONDON","","E14 5AQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 46400,"Montag,Tom","COO"
"BANK OF AMERICA CORPORATION","","136 SEJONG DAERO","SEOUL","","04520","","","","","Shin,Jin","REPRESENTATIVE","","","PRIVATE","121","6029 Commercial Banks, Not Elsewhere Classified","","","0","","","COMMERCIAL BANK","","","9,515,177,415","","","","","","","",""
"BANK OF AMERICA CORPORATION","","136 SEJONG DAERO","SEOUL","","04520","","","","","Moynihan,Brian","PRESIDENT"
"BANK OF AMERICA CORPORATION","","136 SEJONG DAERO","SEOUL","","04520","","","","","Kim,Gi","CEO"
"Bank of America Private Bank","","114 W 47th St.","New York","NEW YORK","10036","UNITED STATES","","1 (800) 878 7878","","Limberg,Ann","Head","","http://www.privatebank.bankofamerica.com","PRIVATE - PARENT","1,933","6022 State Commercial Banks","","Yes","0","522110 Commercial Banking","","Firm provides investment management services.","","","5,607,000,000","","","","","","","",""
"Bank of America - Phoenix","","51 E CAMELBACK RD","PHOENIX","ARIZONA","85012","UNITED STATES","","1 (602) 248 4823","","Foulds,William","Founder","","http://www.bankofamerica.com","PRIVATE - PARENT","6,725","6021 National Commercial Banks","","Yes","0","522110 Commercial Banking","","Firm provides investment banking, loans, mortgages, savings accounts and much more.","","","5,165,000,000","","","","","","","",""
"Bank of America, N.A. - Canada",,200 FRONT ST W,TORONTO,ONTARIO,M5V 3K2,CANADA,,1 (416) 349 4100,1 (416) 349 4285,,,,http://www.bankamerica.com,PUBLIC,350,6022 State Commercial Banks,"6021 National Commercial Banks;6081 Branches and Agencies of Foreign Banks;6011 Federal Reserve Banks;6029 Commercial Banks, Not Elsewhere Classified",,0,522110 Commercial Banking,,Banks,,,5100600000 (USD),,,,,,,,,,,
"BANK OF AMERICA EUROPE DESIGNATED ACTIVITY COMPANY","","TWO PARK PLACE HATCH STREET","DUBLIN","CO DUBLIN","","IRELAND","","","","Donofrio,Paul","DIRECTOR","","","PRIVATE - PARENT","2,548","6011 Federal Reserve Banks","","","0","","","FEDERAL RESERVE BANK","","","3,406,000,000","","","","","","","",""
"BANK OF AMERICA EUROPE DESIGNATED ACTIVITY COMPANY","","TWO PARK PLACE HATCH STREET","DUBLIN","CO DUBLIN","","IRELAND","","","","Keegan,Peter","CEO"
"BANK OF AMERICA EUROPE DESIGNATED ACTIVITY COMPANY","","2 KING EDWARD STREET","LONDON","","EC1A 1HQ","","","44 (20799) 57060","","Donofrio,Paul","CEO","","http://www.ml.com","PRIVATE","2,261","6021 National Commercial Banks","","","0","","","Banks","Mazars","","2,689,000,000","72,132,000,000","58,893,000,000","","","","","",""
"BANK OF AMERICA EUROPE DESIGNATED ACTIVITY COMPANY","","2 KING EDWARD STREET","LONDON","","EC1A 1HQ","","","44 (20799) 57060","","Moulds,Jonathan","DIRECTOR"
"Bank of America Europe Designated Activity Company","","1 Amstelplein","AMSTERDAM","Noord-Holland","1096 HA","NETHERLANDS","","","","Dupont De Dinechin,Pauline","CEO","","","PRIVATE","25","6021 National Commercial Banks","","","0","","","NATIONAL COMMERCIAL BANK","","","2,028,000,000","","","","","","","",""
"Bank of America Europe Designated Activity Company","","1 Amstelplein","AMSTERDAM","Noord-Holland","1096 HA","NETHERLANDS","","","","Donofrio,Paul","PRINCIPAL"
"Bank of America Merrill Lynch International Limited","","2 KING EDWARD STREET","LONDON","","EC1A 1HQ","UNITED KINGDOM","","44 (20717) 44000",""44 (20717) 44400,"Gollan,John","CEO","","http://business.bofa.com","PUBLIC - PARENT","6,497","8742 Management Consulting Services","","Yes","0","541611 Administrative Management and General Management Consulting Services","","Firm provides banking and financial services.","PricewaterhouseCoopers LLP","","1,150,000,000","43,351,000,000","34,826,000,000","","","","","",""
"Bank of America Corp. - Yorba Linda","","4802 MAIN ST","YORBA LINDA","CALIFORNIA","92886 3469","UNITED STATES","","1 (714) 524 4722","","Kijowski,Anthony","Contact","","http://www.bankofamerica.com","PRIVATE - PARENT","67","6021 National Commercial Banks","","Yes","0","522110 Commercial Banking","","Provider of banking products and services.","","","1,110,500,000","","","","","","","",""
"Bank of America Investment Services Inc.","","100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28202 4024","UNITED STATES","","","","Smith,Mari","Chief Executive Officer","abuse@bankofamerica.com","http://www.bankofamerica.com","PRIVATE - PARENT","300","6021 National Commercial Banks","","Yes","0","522110 Commercial Banking","","Provider of financial, banking and investment services.","","","974,000,000","","","","","","","",""
"Bank of America Mexico, S.A., Institucion de Banca Multiple","","Pedregal No 24 piso 22 Torre Virreyes Col Molino del Rey Alcaldia","Acuamanala de Miguel Hidalgo","","11040","MEXICO","","52 (555) 2013200",""52 (555) 2013200,"Mussali,Emilio","CEO","","http://www.bankofamerica.com.mx","PUBLIC - SUBSIDIARY/BRANCH","341","6021 National Commercial Banks","6022 State Commercial Banks;6081 Branches and Agencies of Foreign Banks;6011 Federal Reserve Banks;6029 Commercial Banks, Not Elsewhere Classified","","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","732,380,628","","","","","","","",""
"Bank of America Mexico, S.A., Institucion de Banca Multiple","","Pedregal No 24 piso 22 Torre Virreyes Col Molino del Rey Alcaldia","Acuamanala de Miguel Hidalgo","","11040","MEXICO","","52 (555) 2013200",""52 (555) 2013200,"Fuetes,Terimarie","COUNCIL MEMBER"
"BANK OF AMERICA NATIONAL ASSOCIATION","","","","","","","","65 66780000","","Puntambekar,Gautam Padmakar","CHAIRMAN","anne.m.finucane@bankofamerica.com","","PRIVATE","30","6099 Functions Related to Depository Banking, Not Elsewhere Classified","","","0","","","","","","355,617,596","12,069,686,966","","","","","","",""
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Woodward,Andy","PRESIDENT","","","PRIVATE - PARENT","4,920","6162 Mortgage Bankers and Loan Correspondents","6163 Loan Brokers","Yes","0","522292 Real Estate Credit","522310 Mortgage and Nonmortgage Loan Brokers","MORTGAGE BANKER/CORRESPONDENT","","","313,120,408","","","","","","","",""
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Gretz,Elizabeth","VICE-PRESIDENT"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Garcia,Sean","VICE-PRESIDENT"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Jalal,Sarin","VP"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Bradford,Alexa","Svp - Global Treasury Services Monitoring"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Flores,Jenny","Senior Vice President & Head of Community Affairs & Corporate Social Responsibility"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Brammall,Justin","Vp - Strategic Analysis & Evaluation At Harbour Energy"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Marilou,Wilschke","Vice President"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Rothman,Jeffrey","Managing Director"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Reynolds,Crystal","MANAGER"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Lamotta Maye,Kimberly","Transformation Strategy & Planning Director Cxo"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Sowa,Michael","Director Of Strategic Partnerships"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Russo,Niccola","Director And Assistant General Counsel - Research"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Chen,Shirley","Loan Specialist"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Richards,Andrew","Chief Lending Officer"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Sloan,Price","Royal Bank Of Canada Chief Risk Officer Of City National Bank"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Gayer,Ari","Growth Consultant "
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","La Via,Christopher","Qa Analyst"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Oistacher,Randy","Manhattan Gold & Silver- Bullion Sales & Refiner Of Precious Metals"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Fasth,Thomas","Senior Trader / Principal"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Papciak,Doug","Emergency Room Nurse"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Adame,Alexander G.","Technical & Business Application Support Analyst Avp"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Cuervo,Gloria","Administrative Assistant"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Reynolds,Crystal","MANAGER"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Chen,Shirley","Loan Specialist"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Gretz,Elizabeth","VICE-PRESIDENT"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Garcia,Sean","VICE-PRESIDENT"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Chen,Shirley","OFFICER"
"Bank of America Mortgage Securities, Inc.","","101 S TRYON ST","CHARLOTTE","NORTH CAROLINA","28280 0010","UNITED STATES","","1 (704) 386 5681","","Woodward,Andy","PRESIDENT"
"BANK OF AMERICA N.A","","ONE BKC, GROUND FLOOR, A WING, G BLOCK BANDRA KURLA COMPLEX, BANDRA (EAST)","MUMBAI","MAHARASHTRA","400051","INDIA","","91 2226529622","","Pradeep,Kaku","CEO","","","PRIVATE","492","6081 Branches and Agencies of Foreign Banks","7389 Business Services, Not Elsewhere Classified;8742 Management Consulting Services;6029 Commercial Banks, Not Elsewhere Classified","","0","","","FOREIGN BANK/BRANCH/AGENT","","","272,780,035","","","","","","","",""
"Bank of America California, National Association","","555 CALIFORNIA ST","SAN FRANCISCO","CALIFORNIA","94104 1690","UNITED STATES","","1 (704) 386 5681","","Martin,Louise","Vice President","","","PUBLIC","1","6021 National Commercial Banks","","Yes","0","522110 Commercial Banking","","NATIONAL COMMERCIAL BANK","","","263,000,000","","","","","","","",""
"Bank of America California, National Association","","555 CALIFORNIA ST","SAN FRANCISCO","CALIFORNIA","94104 1690","UNITED STATES","","1 (704) 386 5681","","Mew,Helena","Vice President"
"Bank of America California, National Association","","555 CALIFORNIA ST","SAN FRANCISCO","CALIFORNIA","94104 1690","UNITED STATES","","1 (704) 386 5681","","Toy,Cynthia","Senior Vice President"
"Bank of America California, National Association","","555 CALIFORNIA ST","SAN FRANCISCO","CALIFORNIA","94104 1690","UNITED STATES","","1 (704) 386 5681","","Winter,Meg","VP"
"Bank of America California, National Association","","555 CALIFORNIA ST","SAN FRANCISCO","CALIFORNIA","94104 1690","UNITED STATES","","1 (704) 386 5681","","Lugo,Zana","Manager Management Or Director"
"Bank of America California, National Association","","555 CALIFORNIA ST","SAN FRANCISCO","CALIFORNIA","94104 1690","UNITED STATES","","1 (704) 386 5681","","Milton,Sue","Consumer Banking Market Manager"
"Bank of America California, National Association","","555 CALIFORNIA ST","SAN FRANCISCO","CALIFORNIA","94104 1690","UNITED STATES","","1 (704) 386 5681","","Monte,Mark","Managing Director"
"Bank of America California, National Association","","555 CALIFORNIA ST","SAN FRANCISCO","CALIFORNIA","94104 1690","UNITED STATES","","1 (704) 386 5681","","Oates,Angela","Mortgage Loan Officer"
"Bank of America California, National Association","","555 CALIFORNIA ST","SAN FRANCISCO","CALIFORNIA","94104 1690","UNITED STATES","","1 (704) 386 5681","","Mac,Monica","Accountant"
"Bank of America California, National Association","","555 CALIFORNIA ST","SAN FRANCISCO","CALIFORNIA","94104 1690","UNITED STATES","","1 (704) 386 5681","","Ng,Anna","Proof Operator"
"Bank of America California, National Association","","555 CALIFORNIA ST","SAN FRANCISCO","CALIFORNIA","94104 1690","UNITED STATES","","1 (704) 386 5681","","Love,Tamia","Banker"
"Bank of America California, National Association","","555 CALIFORNIA ST","SAN FRANCISCO","CALIFORNIA","94104 1690","UNITED STATES","","1 (704) 386 5681","","Brennan,Deirdre","Stockbroker"
"Bank of America California, National Association","","555 CALIFORNIA ST","SAN FRANCISCO","CALIFORNIA","94104 1690","UNITED STATES","","1 (704) 386 5681","","Moynihan,Brian","CHAIRMAN OF THE BOARD"
"Bank of America N.A. - Philippines","","27/F Philamlife Twr., 8767 Paseo de Roxas","Makati","","1226","PHILIPPINES","","63 (2) 8155000","","Anaya,Raul","President","","http://business.bofa.com/en-us/content/apac-philippines.html","PRIVATE - PARENT","36","6029 Commercial Banks, Not Elsewhere Classified","","Yes","0","522110 Commercial Banking","","Provider of banking products and services.","Isla Lipana and Company","Sycip Salazar Law Office","256,600,000","","","","","","","",""
"Bank of America Pvt Wealth Management","","114 W 47TH ST","NEW YORK","NEW YORK","10036 1592","UNITED STATES","","1 (800) 878 7878","","Sevilla-Sacasa,Frances","PRESIDENT","","","PRIVATE - PARENT","1,941","6022 State Commercial Banks","6099 Functions Related to Depository Banking, Not Elsewhere Classified;6733 Trusts, Except Educational, Religious, and Charitable;6282 Investment Advice","Yes","0","522110 Commercial Banking","523991 Trust, Fiduciary, and Custody Activities","STATE COMMERCIAL BANK","","","255,545,700","","","","","","","",""
"Bank of America Pvt Wealth Management","","114 W 47TH ST","NEW YORK","NEW YORK","10036 1592","UNITED STATES","","1 (800) 878 7878","","Scaturro,Peter","CHIEF EXECUTIVE OFFICER"
"Bank of America Pvt Wealth Management","","114 W 47TH ST","NEW YORK","NEW YORK","10036 1592","UNITED STATES","","1 (800) 878 7878","","Callaghan,Gerard","EXECUTIVE VICE-PRESIDENT"
"Bank of America Pvt Wealth Management","","114 W 47TH ST","NEW YORK","NEW YORK","10036 1592","UNITED STATES","","1 (800) 878 7878","","Hamer,Allan","Senior Vice President Merrill Lynch"
"Bank of America Pvt Wealth Management","","114 W 47TH ST","NEW YORK","NEW YORK","10036 1592","UNITED STATES","","1 (800) 878 7878","","Kozar,Paul","Vice President Treasury Management Consultant"
